numero,nome,alias,alias_nuovo,modifiche
1,"Intelligenza artificiale al servizio della psicopatologia",intro,,
2,"Marco Cremaschi",marco-cremaschi,speaker,
3,"LLMPatients: test della relazione",llmpatients-test-relazione,chat-1,
4,"LLMPatients: non dipendenza",llmpatients-non-dipendenza,chat-2,
5,"Cosa ha Giovanna?",cosa-ha-giovanna,,
6,"Giovanna",giovanna,,
7,"Giovanna è un'IA",giovanna-ia,,
8,"LLMPatients: schermata di lavoro",llmpatients-schermata-lavoro,,
9,"LLMPatients: esplora pazienti",llmpatients-esplora-pazienti-griglia,,
10,"LLMPatients: dashboard percorsi terapeutici",llmpatients-dashboard-percorsi-terapeutici,,
11,"LLMPatients: pazienti simulati",llmpatients-pazienti-simulati,,
12,"Paziente sintetico: critica",paziente-sintetico-critica,chat-3,
13,"Indice del talk",indice,,
14,"IA nella stanza",perche-parlarne-oggi,parche,
15,"Quando diciamo IA in salute mentale, a cosa pensiamo?",ia-salute-mentale-cosa-pensiamo,,
16,"Due incontri con la psicopatologia",due-incontri-psicopatologia,,
17,"Clinician-facing e patient-facing",clinician-facing-patient-facing,,
18,"ML nella psicologia/psichiatria",ml-psicologia-psichiatria,,
19,"Che cosa intendiamo per IA",che-cosa-intendiamo-per-ia,classi-ai,
20,"Che cos'è il machine learning",cosa-e-il-ml,,
21,"Predire non significa comprendere",ml-predittivo,,
22,"ML in medicina",ml-in-medicina,,
23,"ML in psicologia",ml-in-psicologia,,
24,"Dal pixel al significato",pixel-significato,,
26,"Quando l'oggetto clinico non è un'immagine",oggetto-clinico-non-immagine,,
27,"Le condizioni favorevoli, e il limite",condizioni-favorevoli-limite,,
28,"""Un tumore non si offende. Un paziente sì.""",tumore-non-si-offende,,
30,"Scenari ML",documentazione,,
31,"Screening e triage: aiutare l'accesso",screening-triage,,
XX,"NLP/analisi del linguaggio",nlp-analisi-linguaggio,,
30,"Scenari NLP",documentazione,scenari-nlp,
36,"Il linguaggio è dato clinico, ma non solo dato",linguaggio-dato-clinico,,
35,"Monitoraggio o sorveglianza?",monitoraggio-sorveglianza,,
25,"L'IA è utile solo se aumenta la cura, non se la sostituisce",ia-aumenta-cura,,
48,"Bibliografia essenziale: fonti istituzionali",bibliografia-istituzionale,,
49,"Bibliografia essenziale: AI in medicina e diagnostica",bibliografia-medicina,,
50,"Bibliografia essenziale: AI e salute mentale",bibliografia-salute-mentale,,
